CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,RAD_1,RAD_2,RAD_3,RAD_4,RAD_5,RAD_6,RAD_7,RAD_8,RAD_24,MEDV,log_MEDV
-0.4174012894983972,0.30269600901609756,-1.2918558875018749,-0.2508121299138672,-0.13989478883898554,0.5050397640063633,-0.1094318901398912,0.12120789132817435,-0.667101284189144,-1.4151789015559302,0.4435345162232357,-1.1226792506567826,1,0,0,0,0,0,0,0,0,0.30087820422003647,0.4464524744666384
-0.4149923144652125,-0.48647892433358614,-0.5933287677790083,-0.2508121299138672,-0.7318206530602059,0.26901736594902653,0.377488159246396,0.5373302177192795,-0.988733542705657,-0.5163614527388133,0.4435345162232357,-0.5347721906581735,0,1,0,0,0,0,0,0,0,-0.00457135393151972,0.1667179676561527
-0.41499460982017505,-0.48647892433358614,-0.5933287677790083,-0.2508121299138672,-0.7318206530602059,1.43993367838932,-0.25515248886133485,0.5373302177192795,-0.988733542705657,-0.5163614527388133,0.39955339239193843,-1.256936872531465,0,1,0,0,0,0,0,0,0,1.662674150979059,1.4339329427080123
-0.41441158965969016,-0.48647892433358614,-1.310933308838844,-0.2508121299138672,-0.8261856459070673,1.153335052176839,-0.7989391133584294,1.0568782277875712,-1.1078566014154767,-0.06695272833025474,0.41900450366867936,-1.4109798281561006,0,0,1,0,0,0,0,0,0,1.4972223069802988,1.3311198423536428
-0.4102019086583935,-0.48647892433358614,-1.310933308838844,-0.2508121299138672,-0.8261856459070673,1.381694385362186,-0.500389594026691,1.0568782277875712,-1.1078566014154767,-0.06695272833025474,0.4435345162232357,-1.0732159162818997,0,0,1,0,0,0,0,0,0,1.8535801248237818,1.5480100130096242
-0.41470080438497003,-0.48647892433358614,-1.310933308838844,-0.2508121299138672,-0.8261856459070673,0.2828108827186103,-0.34045235152754566,1.0568782277875712,-1.1078566014154767,-0.06695272833025474,0.41349335547360294,-1.0901747737818595,0,0,1,0,0,0,0,0,0,0.8990502556001676,0.923933439720015
-0.4079937771844309,0.039637697899536306,-0.47592925185919893,-0.2508121299138672,-0.2599956888258991,-0.3578213405798743,-0.05967363691793516,0.8188568264075494,-0.5777589901567793,-1.4151789015559302,0.4294864914122567,-0.06981684753427365,0,0,0,0,1,0,0,0,0,0.16088049006723962,0.32173410536717323
-0.40153694367480863,0.039637697899536306,-0.47592925185919893,-0.2508121299138672,-0.2599956888258991,-0.11260326467614748,0.9888038416875735,1.0038844256465538,-0.5777589901567793,-1.4151789015559302,0.4435345162232357,0.8798791724634792,0,0,0,0,1,0,0,0,0,0.6954172168324637,0.7704447291218283
-0.3938830825522222,0.039637697899536306,-0.47592925185919893,-0.2508121299138672,-0.2599956888258991,-0.9417468838256237,1.1274161185201665,1.0663193796461767,-0.5777589901567793,-1.4151789015559302,0.33255512021649797,2.403349871209875,0,0,0,0,1,0,0,0,0,-0.6536516650035772,-0.5421368881897448
-0.3986115137750526,0.039637697899536306,-0.47592925185919893,-0.2508121299138672,-0.2599956888258991,-0.370082244375062,0.6262794253561778,1.3082785478817984,-0.5777589901567793,-1.4151789015559302,0.3334196140510196,0.5901653568391652,0,0,0,0,1,0,0,0,0,-0.348202106852021,-0.18592356016720124
